epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,12021.9,0.43199,0.27602,0.82112,0.95922,0.962,0.9684,0.83996,0.34759,0.29166,0.55281,0.000569375,0.000569375,0.000569375
167,12093.9,0.43117,0.27566,0.81798,0.96355,0.96533,0.97041,0.84018,0.3479,0.31708,0.55274,0.00056525,0.00056525,0.00056525
168,12166.2,0.44843,0.29464,0.83076,0.96618,0.95785,0.96784,0.83029,0.3516,0.27188,0.55349,0.000561125,0.000561125,0.000561125
169,12238.1,0.43301,0.28161,0.82325,0.96442,0.96702,0.9696,0.84099,0.34637,0.26829,0.55275,0.000557,0.000557,0.000557
170,12310.3,0.44084,0.28086,0.82603,0.95258,0.9578,0.96624,0.83398,0.36317,0.29578,0.55727,0.000552875,0.000552875,0.000552875
171,12382.1,0.43146,0.28238,0.83235,0.94838,0.95547,0.96604,0.84011,0.36507,0.30196,0.55722,0.00054875,0.00054875,0.00054875
172,12454.3,0.43268,0.27831,0.82359,0.95731,0.95147,0.96157,0.84481,0.34036,0.27488,0.55326,0.000544625,0.000544625,0.000544625
173,12526.3,0.41868,0.28083,0.82277,0.95336,0.95067,0.95808,0.84345,0.34332,0.27984,0.55341,0.0005405,0.0005405,0.0005405
174,12598.4,0.43119,0.27565,0.82787,0.93658,0.95452,0.96415,0.844,0.33508,0.32828,0.55192,0.000536375,0.000536375,0.000536375
175,12670.3,0.43388,0.27395,0.82242,0.95032,0.94942,0.95964,0.84593,0.33945,0.39688,0.55272,0.00053225,0.00053225,0.00053225
176,12742.5,0.42123,0.27523,0.82478,0.95126,0.95401,0.96482,0.84312,0.34194,0.33655,0.55288,0.000528125,0.000528125,0.000528125
177,12814.8,0.43075,0.28007,0.82436,0.95199,0.96466,0.96967,0.84495,0.33735,0.27672,0.55247,0.000524,0.000524,0.000524
178,12886.9,0.41824,0.27317,0.82312,0.96355,0.96672,0.9738,0.84304,0.33674,0.27471,0.55274,0.000519875,0.000519875,0.000519875
179,12959,0.44548,0.28948,0.82652,0.96015,0.9638,0.97067,0.84268,0.3374,0.28895,0.5524,0.00051575,0.00051575,0.00051575
180,13030.9,0.42654,0.27115,0.81801,0.95698,0.96466,0.97082,0.84472,0.33277,0.3753,0.55212,0.000511625,0.000511625,0.000511625
